Date,Close
1997-01-31,1620.03
1997-02-28,1568.71
1997-03-31,1528.45
1997-04-30,1571.15
1997-05-30,1738.82
1997-06-30,1800.88
1997-07-31,2028.06
1997-08-29,2005.50
1997-09-30,2118.40
1997-10-31,2008.76
1997-11-28,2042.70
1997-12-31,1974.00
1998-01-30,2129.62
1998-02-27,2303.40
1998-03-31,2471.04
1998-04-30,2500.69
1998-05-29,2528.93
1998-06-30,2709.89
1998-07-31,2756.90
1998-08-31,2150.84
1998-09-30,2264.04
1998-10-30,2567.30
1998-11-30,2848.67
1998-12-31,2192.69
1999-01-29,2617.08
1999-02-26,2621.65
1999-03-31,2939.96
1999-04-30,3075.79
1999-05-28,2923.17
1999-06-30,3240.89
1999-07-30,3064.88
1999-08-31,3183.77
1999-09-30,2952.81
1999-10-29,3301.35
1999-11-30,3580.25
1999-12-31,3707.83
2000-01-31,3764.96
2000-02-29,4696.69
2000-03-31,4572.84
2000-04-28,3860.66
2000-05-31,3528.61
2000-06-30,3966.46
2000-07-31,3765.08
2000-08-31,4206.35
2000-09-29,3672.82
2000-10-31,3229.55
2000-11-30,2597.93
2000-12-29,2341.70
2001-01-31,2626.50
2001-02-28,2178.54
2001-03-30,1748.42
2001-04-30,2007.34
2001-05-31,2066.27
2001-06-29,1980.62
2001-07-31,1816.79
2001-08-31,1617.42
2001-09-28,1268.64
2001-10-31,1438.25
2001-11-30,1619.15
2001-12-31,1577.58
2002-01-31,1563.82
2002-02-28,1449.93
2002-03-28,1663.78
2002-04-30,1560.01
2002-05-31,1437.58
2002-06-28,1248.64
2002-07-31,1105.34
2002-08-30,1109.26
2002-09-30,929.18
2002-10-31,1089.84
2002-11-29,1197.88
2002-12-31,984.52
2003-01-31,960.07
2003-02-28,893.72
2003-03-31,931.07
2003-04-30,1096.49
2003-05-30,1101.77
2003-06-30,1161.21
2003-07-31,1240.17
2003-08-29,1284.30
2003-09-30,1279.40
2003-10-31,1392.49
2003-11-28,1408.09
2003-12-31,1465.44
2004-01-30,1544.56
2004-02-27,1553.02
2004-03-31,1478.78
2004-04-30,1428.11
2004-05-28,1422.65
2004-06-30,1471.78
2004-07-30,1387.72
2004-08-31,1369.27
2004-09-30,1429.00
2004-10-29,1460.51
2004-11-30,1541.72
2004-12-31,1621.12
2005-01-31,1564.23
2005-02-28,1601.36
2005-03-31,1554.75
2005-04-29,1481.17
2005-05-31,1567.87
2005-06-30,1549.61
2005-07-29,1623.36
2005-08-31,1619.87
2005-09-30,1696.62
2005-10-31,1598.90
2005-11-30,1684.82
2005-12-30,1674.40
2006-01-31,1769.47
2006-02-28,1760.37
2006-03-31,1789.98
2006-04-28,1798.01
2006-05-31,1629.17
2006-06-30,1645.90
2006-07-31,1644.86
2006-08-31,1741.42
2006-09-29,1749.14
2006-10-31,1859.50
2006-11-30,1841.05
2006-12-29,1756.90
2007-01-31,1881.86
2007-02-28,1813.49
2007-03-30,1834.75
2007-04-30,1898.08
2007-05-31,1970.88
2007-06-29,1946.01
2007-07-31,2041.38
2007-08-31,1985.55
2007-09-28,2091.87
2007-10-31,2239.10
2007-11-30,2012.63
2007-12-31,2083.51
2008-01-31,1817.65
2008-02-29,1812.49
2008-03-31,1769.40
2008-04-30,1895.27
2008-05-30,1987.89
2008-06-30,1774.26
2008-07-31,1759.48
2008-08-29,1862.57
2008-09-30,1534.13
2008-10-31,1233.45
2008-11-28,1201.87
2008-12-31,1211.65
2009-01-30,1197.95
2009-02-27,1077.12
2009-03-31,1193.46
2009-04-30,1340.83
2009-05-29,1449.74
2009-06-30,1444.86
2009-07-31,1601.78
2009-08-31,1692.18
2009-09-30,1741.26
2009-10-30,1749.40
2009-11-30,1831.01
2009-12-31,1860.31
2010-01-29,1772.68
2010-02-26,1818.68
2010-03-31,1948.64
2010-04-30,2012.82
2010-05-28,1857.29
2010-06-30,1835.62
2010-07-30,1969.97
2010-08-31,1906.99
2010-09-30,2114.04
2010-10-29,2204.21
2010-11-30,2116.43
2010-12-31,2217.86
2011-01-31,2322.57
2011-02-28,2414.35
2011-03-31,2362.67
2011-04-29,2404.54
2011-05-31,2373.25
2011-06-30,2352.33
2011-07-29,2410.64
2011-08-31,2174.24
2011-09-30,2043.24
2011-10-31,2395.98
2011-11-30,2299.16
2011-12-30,2277.83
2012-01-31,2530.58
2012-02-29,2699.01
2012-03-30,2828.84
2012-04-30,2714.70
2012-05-31,2498.17
2012-06-29,2685.42
2012-07-31,2664.64
2012-08-31,2793.44
2012-09-28,2840.94
2012-10-31,2704.20
2012-11-30,2730.89
2012-12-31,2660.93
2013-01-31,2869.92
2013-02-28,2904.72
2013-03-28,2944.75
2013-04-30,3011.00
2013-05-31,3059.67
2013-06-28,2932.66
2013-07-31,3138.36
2013-08-30,3013.65
2013-09-30,3210.41
2013-10-31,3310.86
2013-11-29,3451.94
2013-12-31,3592.65
2014-01-31,3431.30
2014-02-28,3700.16
2014-03-31,3581.72
2014-04-30,3497.98
2014-05-30,3571.73
2014-06-30,3810.30
2014-07-31,3878.12
2014-08-29,4080.83
2014-09-30,3946.62
2014-10-31,4089.18
2014-11-28,4284.41
2014-12-31,4234.78
2015-01-30,4100.60
2015-02-27,4352.61
2015-03-31,4269.82
2015-04-30,4421.04
2015-05-29,4527.43
2015-06-30,4398.91
2015-07-31,4616.55
2015-08-31,4248.77
2015-09-30,4205.31
2015-10-30,4556.29
2015-11-30,4564.83
2015-12-31,4593.27
2016-01-29,4195.10
2016-02-29,4157.44
2016-03-31,4467.55
2016-04-29,4392.60
2016-05-31,4533.79
2016-06-30,4435.37
2016-07-29,4803.71
2016-08-31,4784.25
2016-09-30,4862.57
2016-10-31,4811.02
2016-11-30,4893.24
2016-12-30,4863.17
2017-01-31,5178.01
2017-02-28,5308.66
2017-03-31,5386.04
2017-04-28,5523.68
2017-05-31,5731.38
2017-06-30,5762.70
2017-07-31,5947.93
2017-08-31,5984.05
2017-09-29,5996.37
2017-10-31,6228.24
2017-11-30,6276.67
2017-12-29,6695.93
2018-01-31,7007.10
2018-02-28,6894.82
2018-03-29,6618.87
2018-04-30,6806.68
2018-05-31,7177.47
2018-06-29,7177.18
2018-07-31,7530.49
2018-08-31,7751.61
2018-09-28,7671.88
2018-10-31,6924.86
2018-11-30,6866.36
2018-12-31,6305.23
2019-01-31,6897.34
2019-02-28,7218.92
2019-03-29,7462.71
2019-04-30,7779.44
2019-05-31,7225.46
2019-06-28,7891.78
2019-07-31,7963.77
2019-08-30,7822.47
2019-09-30,7868.34
2019-10-31,8112.67
2019-11-29,8437.29
2019-12-31,8733.07
2020-01-31,8991.00
2020-02-28,7790.99
2020-03-31,7182.85
2020-04-30,8634.23
2020-05-29,9368.99
2020-06-30,10058.64
2020-07-31,10745.27
2020-08-31,12074.52
2020-09-30,11167.50
2020-10-30,11548.23
2020-11-30,12464.05
2020-12-31,12888.28
2021-01-29,13070.69
2021-02-26,13588.44
2021-03-31,13246.87
2021-04-30,13914.44
2021-05-28,13735.11
2021-06-30,14730.78
2021-07-30,15098.57
2021-08-31,15620.98
2021-09-30,14936.49
2021-10-29,15621.71
2021-11-30,16074.10
2021-12-31,16320.08
2022-01-31,14239.88
2022-02-28,14261.50
2022-03-31,15051.34
2022-04-29,12957.06
2022-05-31,12720.96
2022-06-30,11733.03
2022-07-29,12953.52
2022-08-31,12453.71
2022-09-30,10971.84
2022-10-31,11265.56
2022-11-30,11927.76
2022-12-30,10939.76
2023-01-31,12194.67
2023-02-28,12029.15
2023-03-31,13181.19
2023-04-28,13237.75
2023-05-31,14229.91
2023-06-30,15112.52
2023-07-31,15473.95
2023-08-31,15425.94
2023-09-29,14870.40
2023-10-31,14488.45
2023-11-30,16049.28
2023-12-29,16825.93
2024-01-31,17137.27
2024-02-29,17785.08
2024-03-28,18254.70
2024-04-30,17442.76
2024-05-31,18991.41
2024-06-28,19761.60
2024-07-31,19282.79
2024-08-30,19574.65
2024-09-30,19791.65
2024-10-31,19891.18
2024-11-29,21117.96
2024-12-31,21209.23
2025-01-31,21174.15
2025-02-28,20928.41
2025-03-31,18815.48
